Source,Target
135183981456,207114066110290
135183981456,164033430319732
135183981456,122280771152561
135183981456,495823133792759
135183981456,470597903058903
135183981456,129982540363341
135183981456,109215622029
135183981456,211283728933340
135183981456,137883459615766
135183981456,288766184584961
135183981456,13357499221
135183981456,377347152334475
135183981456,8356493537
135183981456,88679909824
135183981456,25348768148
135183981456,120358587979707
135183981456,411399412240351
135183981456,231850205472
135183981456,68989932198
135183981456,99278830776
135183981456,222149971137480
135183981456,197291367068903
135183981456,164977296972
135183981456,207642735920856
135183981456,107851865922984
135183981456,53213185085
135183981456,40359481081
135183981456,65280315126
135183981456,191335504231236
135183981456,8851499887
135183981456,122014561159744
135183981456,32687649771
135183981456,184943371545358
135183981456,104614602936269
135183981456,159403720818880
135183981456,198893331987
135183981456,70559617573
135183981456,109966203367
135183981456,20480307504
135183981456,128821617182031
135183981456,135980043103330
135183981456,187031748014599
135183981456,140243216035364
135183981456,152505278121372
135183981456,317602024376
135183981456,275850955863371
135183981456,179336875428371
135183981456,48958576760
135183981456,73391598616
135183981456,72692381792
135183981456,128867540208
135183981456,114631321881517
135183981456,97960332449
135183981456,116847218327256
135183981456,29223621994
135183981456,94078717394
135183981456,19295569978
135183981456,190302430980899
135183981456,91624989857
135183981456,24662241754
135183981456,47127764082
135183981456,73724001733
135183981456,6806028948
135183981456,7003656077
135183981456,5832584410
135183981456,88775058107
135183981456,113127402046919
135183981456,159093078822
135183981456,241702727253
135183981456,9062006483
135183981456,27102961403
135183981456,97974637337
135183981456,6317643737
135183981456,231099585141
135183981456,56217094580
135183981456,100612992715
135183981456,52744742043
135183981456,30020829904
135183981456,9679476140
135183981456,12248980428
135183981456,106905165970
135183981456,9411224013
135183981456,98963290676
135183981456,103509416013
135183981456,129111627108944
135183981456,136941433002923
135183981456,56974772154
135183981456,206467326036429
135183981456,106081529459514
135183981456,112173338805484
135183981456,56254158646
135183981456,111001386235
135183981456,117914784831
135183981456,125452924183448
135183981456,151572901547924
135183981456,68359233832
135183981456,228735667216
135183981456,133536249999517
135183981456,27566611155
135183981456,21053246992
135183981456,115535341805950
135183981456,200409526638449
135183981456,87105007986
135183981456,21317493981
135183981456,168477116526532
135183981456,199504650087085
135183981456,89582998504
135183981456,6352578678
135183981456,105014211842
135183981456,134146296633274
135183981456,8662337685
135183981456,11071120908
135183981456,107854112590930
135183981456,24470421669
135183981456,345292292099
135183981456,126302605652
135183981456,110189285908
135183981456,22727908123
135183981456,11042814066
135183981456,192591627449618
135183981456,35974999393
135183981456,236892755192
135183981456,56995920220
135183981456,39166556109
135183981456,129201322063
135183981456,274020978895
135183981456,151289648254464
135183981456,127966830064
135183981456,40077886999
135183981456,104440286255060
135183981456,10150092197055471
135183981456,66499758370
135183981456,81446081972
135183981456,158293719030
135183981456,161510468901
135183981456,136831553023063
135183981456,293942641319
135183981456,34500864918
135183981456,13834115359
135183981456,124628376541
135183981456,125807797443773
135183981456,197827662799
135183981456,194680590613711
135183981456,103247876055
135183981456,138325459526965
135183981456,38513990346
135183981456,102051836512495
135183981456,146942886903
135183981456,217503484930725
135183981456,115956613350
135183981456,39415695751
135183981456,372528193712
135183981456,95789474983
135183981456,115972731765525
135183981456,282946438438363
135183981456,5953023255
135183981456,68491249493
135183981456,189563577751651
135183981456,63617892564
135183981456,158383070883316
135183981456,97461606856
135183981456,91558969307
135183981456,395380343812861
135183981456,230385963717986
135183981456,1573234602931489
135183981456,179877846431
135183981456,109508573822
135183981456,357819697659156
135183981456,358312417583963
135183981456,195410557144806
135183981456,8219865871
135183981456,128428270543780
135183981456,361498843949584
135183981456,139358969466879
135183981456,11473432254
135183981456,8526842181
135183981456,126582017411203
135183981456,133586306534
135183981456,123568580987335
135183981456,256399545643
135183981456,8912780459
135183981456,118778271823
135183981456,131374991237
135183981456,190899747688631
135183981456,173939143666
135183981456,136304936408107
135183981456,194696446004
135183981456,23910114576
135183981456,11409046607
135183981456,7826953993
135183981456,6169711698
135183981456,123594077779429
135183981456,123032162727
135183981456,64067037679
135183981456,83669531845
135183981456,505922136116329
135183981456,58339527980
135183981456,14226545351
135183981456,6654472378
135183981456,177983239019700
135183981456,42430188985
135183981456,64947276753
135183981456,33949959457
135183981456,121964464536400
135183981456,135006496544064
135183981456,105294342845050
135183981456,11604338781
135183981456,123185754376465
135183981456,12449804482
135183981456,406545029378301
135183981456,133060876733790
135183981456,267208080027128
135183981456,97498021385
